Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ionic liquid-water mixtures enhance pretreatment and anaerobic digestion of agave bagasse,MENDOZA PEREZ JORGE ALBERTO,7,,INDUSTRIAL CROPS AND PRODUCTS,NOV 1 2021,171.0,,,8,2.0,0,0,0,0,0,0,0,0,0,0,3,2,3
"DETERMINATION OF BIOSORPTION MECHANISM IN BIOMASS OF AGAVE, USING SPECTROSCOPIC AND MICROSCOPIC TECHNIQUES FOR THE PURIFICATION OF CONTAMINATED WATER",MENDOZA PEREZ JORGE ALBERTO,7,,REVISTA MEXICANA DE INGENIERIA QUIMICA,JAN-APR 2020,19.0,,,8,1.6,0,0,0,0,0,0,0,0,4,3,1,0,0
"Treatment of Eutrophic Water and Wastewater from Valsequillo Reservoir, Puebla, Mexico by Means of Ozonation: A Multiparameter Approach",MENDOZA PEREZ JORGE ALBERTO,6,,WATER,DEC 2018,10.0,,,8,1.14,0,0,0,0,0,0,0,0,3,1,2,1,1
"Assessment of Potential Toxic Metals in a Ramsar Wetland, Central Mexico and its Self-Depuration through Eichhornia crassipes",MENDOZA PEREZ JORGE ALBERTO,6,,WATER,JUN 2019,11.0,,,7,1.17,0,0,0,0,0,0,0,1,1,1,1,2,1
"Hepatoprotective effects of glycine and vitamin E, during the early phase of liver regeneration in the rat",MENDOZA PEREZ JORGE ALBERTO,10,,AFRICAN JOURNAL OF PHARMACY AND PHARMACOLOGY,AUG 2009,3.0,,,7,0.44,1,0,0,1,0,1,3,0,0,0,0,1,0
Evaluation of Blueberry Juice in Mouse Azoxymethane-Induced Aberrant Crypts and Oxidative Damage,MENDOZA PEREZ JORGE ALBERTO,8,,EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE,2014,2014.0,,,6,0.55,0,0,0,1,1,1,0,1,0,1,0,1,0
Role of Kupffer Cells in Thioacetamide-Induced Cell Cycle Dysfunction,MENDOZA PEREZ JORGE ALBERTO,11,,MOLECULES,OCT 2011,16.0,,,6,0.43,0,2,0,1,1,0,0,0,0,1,1,0,0
Multiparametric System for Measuring Physicochemical Variables Associated to Water Quality Based on the Arduino Platform,MENDOZA PEREZ JORGE ALBERTO,6,,IEEE ACCESS,2022,10.0,,,4,1.33,0,0,0,0,0,0,0,0,0,0,0,1,3
"Nanomaterials, Polymers, and Smart Packaging for Food Materials",MENDOZA PEREZ JORGE ALBERTO,7,"Prasad, R","PLANT NANOBIONICS: APPROACHES IN NANOPARTICLES, BIOSYNTHESIS, AND TOXICITY, VOL 2",2019,,,,3,0.5,0,0,0,0,0,0,0,0,1,0,2,0,0
Kinetics of Zn-C Battery Leaching with Choline Chloride/Urea Natural Deep Eutectic Solvents,MENDOZA PEREZ JORGE ALBERTO,6,,RECYCLING,DEC 2022,7.0,,,2,0.67,0,0,0,0,0,0,0,0,0,0,0,1,1
"<i>Bauhinia forficata</i> Link, Antioxidant, Genoprotective, and Hypoglycemic Activity in a Murine Model",MENDOZA PEREZ JORGE ALBERTO,8,,PLANTS-BASEL,NOV 2022,11.0,,,2,0.67,0,0,0,0,0,0,0,0,0,0,0,0,2
IMPLEMENTATION OF A PHOTOCATALYTIC SOLAR CELL FOR THE DEGRADATION OF EMERGING POLLUTANTS OF PHARMACEUTICAL ORIGIN,MENDOZA PEREZ JORGE ALBERTO,6,,REVISTA INTERNACIONAL DE CONTAMINACION AMBIENTAL,2022,38.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUB1 and SURVIVIN Proteins Are Not Degraded after a Prolonged Mitosis in HCT116 Cells and Accumulate in the Nucleus,MENDOZA PEREZ JORGE ALBERTO,9,,CYTOGENETIC AND GENOME RESEARCH,2016,148.0,21st International Chromosome Conference (ICC),"JUL 10-13, 2016",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Convective drying with tempering of mushrooms (<i>Pleurotus ostreatus</i>) and color changes of final product,MENDOZA PEREZ JORGE ALBERTO,6,"DelPilarBuera, M; WeltiChanes, J; Lillford, PJ; Corti, HR","Water Properties of Food, Pharmaceutical, and Biological Materials",2006,9.0,9th International Symposium on the Properties of Water in Foods (ISOPOW 2004),"SEP 25-30, 2004",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
