Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Structure and morphology of plasma polyfuran particles,OLAYO GONZALEZ ROBERTO,7,,POLYMER BULLETIN,FEB 2017,74,,,13,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,1,2,0,0
Polymerization mechanisms in plasma polyallylamine,OLAYO GONZALEZ ROBERTO,8,,JOURNAL OF MATERIALS SCIENCE,JAN 2017,52,,,13,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,2,3,1
Characterization of hydrophobic and hydrophilic polythiophene-silver-copper thin film composites synthesized by DC glow discharges,OLAYO GONZALEZ ROBERTO,4,,SURFACE & COATINGS TECHNOLOGY,JUL 15 2009,203,,,13,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,2,3,1,0,0,1,1,0,0
GPC/LS analysis of the photodegradation products of poly(phenylmethylsilane),OLAYO GONZALEZ ROBERTO,3,,JOURNAL OF INORGANIC AND ORGANOMETALLIC POLYMERS,MAR 1997,7,,,13,0.46,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,2,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Recovery of motor function after traumatic spinal cord injury by using plasma-synthesized polypyrrole/iodine application in combination with a mixed rehabilitation scheme,OLAYO GONZALEZ ROBERTO,18,,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,JUN 30 2020,31,,,11,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5
Scaffolds of polylactic acid/hydroxyapatite coated by plasma with polypyrrole-iodine for the generation of neo-tissue-bone <i>in vivo</i>: Study in rabbit,OLAYO GONZALEZ ROBERTO,7,,INTERNATIONAL JOURNAL OF POLYMERIC MATERIALS AND POLYMERIC BIOMATERIALS,2018,67,,,11,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,3,0,0
Synthesis and superficial characterization of plasma polyfuran thin films,OLAYO GONZALEZ ROBERTO,8,,POLYMER BULLETIN,APR 2015,72,,,11,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,1,0,0,0
Effect of EPDM on LDPE/LLDPE blends: Mechanical properties,OLAYO GONZALEZ ROBERTO,3,,JOURNAL OF APPLIED POLYMER SCIENCE,JUL 25 1997,65,,,11,0.39,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0
Electrospun scaffolds with surfaces modified by plasma for regeneration of articular cartilage tissue: a pilot study in rabbit,OLAYO GONZALEZ ROBERTO,8,,INTERNATIONAL JOURNAL OF POLYMERIC MATERIALS AND POLYMERIC BIOMATERIALS,DEC 12 2019,68,,,10,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,2
Delayed injection of polypyrrole doped with iodine particle suspension after spinal cord injury in rats improves functional recovery and decreased tissue damage evaluated by 3.0 Tesla in vivo magnetic resonance imaging,OLAYO GONZALEZ ROBERTO,14,,SPINE JOURNAL,APR 2017,17,,,10,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,2
Pyrrole Plasma Polymer-Coated Electrospun Scaffolds for Neural Tissue Engineering,OLAYO GONZALEZ ROBERTO,6,,POLYMERS,NOV 2021,13,,,9,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3
Effect of a plasma synthesized polypyrrole coverage on polylactic acid/hydroxyapatite scaffolds for bone tissue engineering,OLAYO GONZALEZ ROBERTO,9,,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,NOV 2021,109,,,9,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3
Plasma Functionalized Scaffolds of Polyhydroxybutyrate Electrospun Fibers for Pancreatic Beta Cell Cultures,OLAYO GONZALEZ ROBERTO,9,,FRONTIERS IN MATERIALS,APR 8 2021,8,,,9,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3
Electrospun PCL-protein scaffolds coated by pyrrole plasma polymerization,OLAYO GONZALEZ ROBERTO,7,,JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,JUL 3 2019,30,,,9,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,1
INCORPORATION OF CIPROFLOXACIN/BETA CYCLODEXTRIN INCLUSION COMPLEX TO POLYLACTIC ACID ELECTROSPUN FIBERS AND MODELING OF THE RELEASE BEHAVIOR,OLAYO GONZALEZ ROBERTO,4,,REVISTA MEXICANA DE INGENIERIA QUIMICA,MAY-AUG 2019,18,,,9,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,0
Preparation and characterization of electroconductive polypyrrole-thermoplastic composites,OLAYO GONZALEZ ROBERTO,4,,JOURNAL OF APPLIED POLYMER SCIENCE,AUG 8 2001,81,,,9,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
GELATION OF POLY(N-BUTYLISOCYANATE) IN BENZENE,OLAYO GONZALEZ ROBERTO,2,,JOURNAL OF POLYMER SCIENCE PART B-POLYMER PHYSICS,NOV 1991,29,,,9,0.26,0,0,0,1,1,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
