Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Novel petroleum demulsifiers based on acrylic random copolymers,ALVAREZ RAMIREZ FERNANDO,8,,JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,APR 3 2019,40,,,9,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,1
New Approaches to the Computer Simulation of Amorphous Alloys: A Review,ALVAREZ RAMIREZ FERNANDO,10,,MATERIALS,APR 2011,4,,,9,0.64,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,3,0,0,0,0,0
"Amorphous alloys of C<sub>0.5</sub>Si<sub>0.5</sub>, Si<sub>0.5</sub>Ge<sub>0.5</sub> and In<sub>0.5</sub>Se<sub>0.5</sub>:: atomic topology",ALVAREZ RAMIREZ FERNANDO,6,,JOURNAL OF NON-CRYSTALLINE SOLIDS,JUN 15 2004,338,20th International Conference on Amorphous and Microcrystalline Semiconductors,"AUG 25-29, 2003",9,0.43,0,0,0,1,2,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Triblock copolymers functionalized with quaternary ammonium salts as dehydrating agents for heavy and extra-heavy crude oils,ALVAREZ RAMIREZ FERNANDO,7,,JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,2018,39,,,8,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,0
A model to calculate the average interaction energy and adhesion force between petroleum asphaltenes and some metallic surfaces,ALVAREZ RAMIREZ FERNANDO,4,,JOURNAL OF COLLOID AND INTERFACE SCIENCE,SEP 15 2006,301,,,7,0.37,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0
Theoretical study of nickel porphyrinate derivatives related to catalyst dopant in the oil industry,ALVAREZ RAMIREZ FERNANDO,5,,JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL,MAR 16 2005,228,"3rd San Luis Symposium on Surfaces, Interfaces and Catalysis","MAR 15-19, 2004",5,0.25,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
Amorphizing non-cubic structures of carbon.: The case of rhombohedral and hexagonal crystalline supercells,ALVAREZ RAMIREZ FERNANDO,7,,JOURNAL OF NON-CRYSTALLINE SOLIDS,JUN 15 2004,338,20th International Conference on Amorphous and Microcrystalline Semiconductors,"AUG 25-29, 2003",5,0.24,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Usage of the Y-Rule and the Effect of the Occurrence of Heteroatoms (N, S) on the Frontier Molecular Orbitals Gap of Polycyclic Aromatic Hydrocarbons (PAHs), and Asphaltene-PAHs",ALVAREZ RAMIREZ FERNANDO,2,,CHEMPHYSCHEM,MAY 2 2023,24,,,4,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
The Influence of Aromaticity in Gas Chromatography Retention: The Case of Polycyclic Aromatic Sulfur Heterocycles,ALVAREZ RAMIREZ FERNANDO,5,,CHROMATOGRAPHIA,MAR 2018,81,,,4,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0
Nickel promoter effect on hydrotreating catalysts structures by means of density functional theory (DFT),ALVAREZ RAMIREZ FERNANDO,5,,FUEL,AUG 2013,110,International-Mexican Congress on Chemical Reaction Engineering (IMCCRE),"JUN, 2012",3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Lipopeptide production by <i>Serratia marcescens</i> SmSA using a Taguchi design and its application in enhanced heavy oil recovery,ALVAREZ RAMIREZ FERNANDO,5,,PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY,SEP 1 2022,52,,,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Effect of the Chemical Structure of Alkyl Acrylates on Their Defoaming Activity in Crude Oil: Experimental and Theoretical Studies,ALVAREZ RAMIREZ FERNANDO,8,,ENERGY & FUELS,MAY 20 2021,35,,,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Assessment of Novel Water-Borne Coatings Obtained from Composite Latex Particles and Reinforced with TiO<sub>2</sub> Nanotubes,ALVAREZ RAMIREZ FERNANDO,5,,POLYMER-PLASTICS TECHNOLOGY AND ENGINEERING,MAY 11 2015,54,,,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
First Principles Calculations of the Electronic and Structural Properties of SnO Nanotubes and Nanorods,ALVAREZ RAMIREZ FERNANDO,1,,JOURNAL OF NANO RESEARCH,2009,5,,,1,0.06,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
