Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Stereolithography in spine pathology: a 2-case report,SALGADO CEBALLOS HERMELINDA,9,,SURGICAL NEUROLOGY,SEP 2009,72.0,,,17,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,5,2,4,0,1,1,0
Differential time-course of the increase of antioxidant thiol-defenses in the acute phase after spinal cord injury in rats,SALGADO CEBALLOS HERMELINDA,6,,NEUROSCIENCE LETTERS,MAR 6 2009,452.0,,,16,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,0,1,2,1,0,0,4,0,1,0
"Feasibility of <i>In Vivo</i> Quantitative Magnetic Resonance Imaging With Diffusion Weighted Imaging, T2-Weighted Relaxometry, and Diffusion Tensor Imaging in a Clinical 3 Tesla Magnetic Resonance Scanner for the Acute Traumatic Spinal Cord Injury of Rats <i>Technical Note</i>",SALGADO CEBALLOS HERMELINDA,7,,SPINE,SEP 15 2013,38.0,,,15,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,0,3,1,1,0,1
Phenytoin carried by silica core iron oxide nanoparticles reduces the expression of pharmacoresistant seizures in rats,SALGADO CEBALLOS HERMELINDA,7,,NANOMEDICINE,2015,10.0,,,14,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,1,2,1
Spontaneous and induced aberrant sprouting at the site of injury is irrelevant to motor function outcome in rats with spinal cord injury,SALGADO CEBALLOS HERMELINDA,9,,BRAIN RESEARCH,JUL 9 2004,1013.0,,,14,0.67,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1,1,0,0,1,0,0,0,1,2,0,0,0,0
Effect of the combined treatment of albumin with plasma synthesised pyrrole polymers on motor recovery after traumatic spinal cord injury in rats,SALGADO CEBALLOS HERMELINDA,13,,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,JAN 2018,29.0,,,13,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,3,3
NEUROPROTECTION OF COMPLETELY LACERATED SPINAL-CORD OF ADULT-RATS BY HOMOTOPIC AND HETEROTOPIC TRANSPLANTATION,SALGADO CEBALLOS HERMELINDA,7,,RESTORATIVE NEUROLOGY AND NEUROSCIENCE,NOV 1994,7.0,,,13,0.42,4,1,0,2,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Neo-clerodane diterpenic influence in the antinociceptive and anti-inflammatory properties of <i>Salvia circinnata</i> Cav.,SALGADO CEBALLOS HERMELINDA,8,,JOURNAL OF ETHNOPHARMACOLOGY,MAR 25 2021,268.0,,,11,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,1
Recovery of motor function after traumatic spinal cord injury by using plasma-synthesized polypyrrole/iodine application in combination with a mixed rehabilitation scheme,SALGADO CEBALLOS HERMELINDA,18,,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,JUN 30 2020,31.0,,,11,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5
Delayed injection of polypyrrole doped with iodine particle suspension after spinal cord injury in rats improves functional recovery and decreased tissue damage evaluated by 3.0 Tesla in vivo magnetic resonance imaging,SALGADO CEBALLOS HERMELINDA,14,,SPINE JOURNAL,APR 2017,17.0,,,11,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,3
"Cognitive, Behavioral, and Adaptive Profiles in Williams Syndrome With and Without Loss of <i>GTF2IRD2</i>",SALGADO CEBALLOS HERMELINDA,7,,JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY,OCT 2018,24.0,,,9,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0
Hyperthermic seizures and hyperthermia in immature rats modify the subsequent pentylenetetrazole-induced seizures,SALGADO CEBALLOS HERMELINDA,4,,SEIZURE-EUROPEAN JOURNAL OF EPILEPSY,SEP 2009,18.0,,,9,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,2,0
Enzyme activities involved in the glutamate-glutamine cycle are altered to reduce glutamate after spinal cord injury in rats,SALGADO CEBALLOS HERMELINDA,6,,NEUROREPORT,DEC 14 2016,27.0,,,8,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,0,0
Mild Cognitive Impairment in Patients with Early-Onset Parkinson's Disease,SALGADO CEBALLOS HERMELINDA,6,,DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,2016,42.0,,,7,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0
Electro-Acupuncture at GV.4 Improves Functional Recovery in paralyzed rats after a Traumatic Spinal Cord Injury.,SALGADO CEBALLOS HERMELINDA,7,,ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,2015,40.0,,,7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,0
(-)-Epicatechin reduces muscle waste after complete spinal cord transection in a murine model: role of ubiquitin-proteasome system,SALGADO CEBALLOS HERMELINDA,10,,MOLECULAR BIOLOGY REPORTS,NOV 2020,47.0,,,6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2
An Exploration of Social Cognition in Children with Different Degrees of Genetic Deletion in Williams Syndrome,SALGADO CEBALLOS HERMELINDA,9,,JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,MAY 2021,51.0,,,6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
Activation of heme oxygenase recovers motor function after spinal cord injury in rats,SALGADO CEBALLOS HERMELINDA,7,,NEUROSCIENCE LETTERS,NOV 27 2013,556.0,,,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0
Metallothionein-II improves motor function recovery and increases spared tissue after spinal cord injury in rats,SALGADO CEBALLOS HERMELINDA,8,,NEUROSCIENCE LETTERS,APR 11 2012,514.0,,,6,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,1,0,0,0
Improvement of host-graft adhesion by enzymatic manipulation of the subacute spinal cord contusion area in the rat,SALGADO CEBALLOS HERMELINDA,7,,TRANSPLANTATION PROCEEDINGS,DEC 1996,28.0,,,6,0.21,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Evolution of Spinal Cord Transection of Rhesus Monkey Implanted with Polymer Synthesized by Plasma Evaluated by Diffusion Tensor Imaging,SALGADO CEBALLOS HERMELINDA,15,,POLYMERS,MAR 2022,14.0,,,5,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
Comparison of the Cognitive Benefits of Doing Aerobic Exercise versus Performing Theater in Healthy Older Adults,SALGADO CEBALLOS HERMELINDA,5,,ACTIVITIES ADAPTATION & AGING,APR 3 2022,46.0,,,5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
NEUROPROTECTION BY METHYLPREDNISOLONE FOR MECHANIC-ENZYMATIC MANIPULATION OF CONTUSED SPINAL-CORD AREAS IN RATS,SALGADO CEBALLOS HERMELINDA,7,,NEURODEGENERATION,JUN 1994,3.0,,,5,0.16,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene expression and locomotor recovery in adult rats with spinal cord injury and plasma-synthesized polypyrrole/iodine application combined with a mixed rehabilitation scheme,SALGADO CEBALLOS HERMELINDA,15,,FRONTIERS IN NEUROLOGY,MAY 23 2023,14.0,,,4,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Antihyperalgesic and Antiallodynic Effects of Amarisolide A and <i>Salvia amarissima</i> Ortega in Experimental Fibromyalgia-Type Pain,SALGADO CEBALLOS HERMELINDA,9,,METABOLITES,JAN 2023,13.0,,,4,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Spinogenesis and Plastic Changes in the Dendritic Spines of Spinal Cord Motoneurons After Traumatic Injury in Rats,SALGADO CEBALLOS HERMELINDA,12,,ARCHIVES OF MEDICAL RESEARCH,OCT 2017,48.0,,,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0
Mexican Traditional Medicine: Traditions of Yesterday and Phytomedicines of Tomorrow,SALGADO CEBALLOS HERMELINDA,6,"Duarte, MCT; Rai, M",THERAPEUTIC MEDICINAL PLANTS: FROM LAB TO THE MARKET,2016,,,,3,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"Spinal Cord Injury of Rhesus Monkey Implanted with PPy/I Plasma Polymer, MRI Study",SALGADO CEBALLOS HERMELINDA,13,"Braidot, A; Hadad, A",VI LATIN AMERICAN CONGRESS ON BIOMEDICAL ENGINEERING (CLAIB 2014),2014,49.0,6th Latin American Biomedical Engineering Conference (CLAIB),"OCT 29-31, 2014",3,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Tibolone Improves Locomotor Function in a Rat Model of Spinal Cord Injury by Modulating Apoptosis and Autophagy,SALGADO CEBALLOS HERMELINDA,8,,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,OCT 2023,24.0,,,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Spinogenesis in spinal cord motor neurons following pharmacological lesions to the rat motor cortex,SALGADO CEBALLOS HERMELINDA,6,,NEUROLOGIA,MAR 2021,36.0,,,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
RHEOLOGICAL BEHAVIOR OF PLASMA POLYMERIZED IODINE-DOPED POLYPYRROLE PARTICLES SUSPENDED IN SOLUTIONS OF BOVINE SERUM ALBUMIN,SALGADO CEBALLOS HERMELINDA,10,,REVISTA MEXICANA DE INGENIERIA QUIMICA,SEP-DEC 2019,18.0,,,2,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Nanotechnology as Potential Strategy for the Treatment of Pharmacoresistant Epilepsy and Comorbid Psychiatric Disorders,SALGADO CEBALLOS HERMELINDA,5,,MINI-REVIEWS IN MEDICINAL CHEMISTRY,2017,17.0,,,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Deleterious versus neuroprotective effect of metabolic inhibition after traumatic spinal cord injury,SALGADO CEBALLOS HERMELINDA,9,,SPINAL CORD,OCT 2009,47.0,,,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
