Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2009,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Analyzing the energy intensity and greenhouse gas emission of Canadian oil sands crude upgrading through process modeling and simulation,ALVAREZ MAJMUTOV ANTON,2,,FRONTIERS OF CHEMICAL SCIENCE AND ENGINEERING,JUN 2014,8,,,11,1.0,0,0,2,0,0,4,1,2,0,2,0
Isomerization catalysts and technologies for biorefining: Opportunities for producing sustainable aviation fuels,ALVAREZ MAJMUTOV ANTON,3,,FUEL,NOV 1 2023,351,,,9,4.5,0,0,0,0,0,0,0,0,0,4,5
Mild hydrotreatment of biocrude derived from hydrothermal liquefaction of agriculture waste: improving biocrude miscibility with vacuum gas oil to aid co-processing,ALVAREZ MAJMUTOV ANTON,3,,BIOFUELS BIOPRODUCTS & BIOREFINING-BIOFPR,MAY 2022,16,,,9,3.0,0,0,0,0,0,0,0,0,1,4,4
Development and Application of a Life Cycle-Based Model to Evaluate Greenhouse Gas Emissions of Oil Sands Upgrading Technologies,ALVAREZ MAJMUTOV ANTON,5,,ENVIRONMENTAL SCIENCE & TECHNOLOGY,DEC 20 2016,50,,,9,1.0,0,0,0,0,1,3,3,2,0,0,0
Upgrading of Hydrothermal Liquefaction Biocrude from Forest Residues Using Solvents and Mild Hydrotreating for Use as Co-processing Feed in a Refinery,ALVAREZ MAJMUTOV ANTON,4,,ENERGY & FUELS,AUG 23 2023,37,,,8,4.0,0,0,0,0,0,0,0,0,0,1,7
An overview on the analytical methods for characterization of biocrudes and their blends with petroleum,ALVAREZ MAJMUTOV ANTON,5,,FUEL,SEP 15 2022,324,,,7,2.33,0,0,0,0,0,0,0,0,1,4,2
Molecular Characterization of Remnant Polarizable Asphaltene Fractions Upon Bitumen Upgrading and Possible Implications in Petroleum Viscosity,ALVAREZ MAJMUTOV ANTON,5,,ENERGY & FUELS,JUL 21 2022,36,,,6,2.0,0,0,0,0,0,0,0,0,0,5,1
Production of Renewable Liquid Fuels by Coprocessing HTL Biocrude Using Hydrotreating and Fluid Catalytic Cracking,ALVAREZ MAJMUTOV ANTON,2,,ENERGY & FUELS,DEC 2 2021,35,,,6,1.5,0,0,0,0,0,0,0,0,1,2,3
Enhanced Representation of Thermal Cracking Chemistry in the Context of Bitumen Partial Upgrading,ALVAREZ MAJMUTOV ANTON,3,,ENERGY & FUELS,AUG 5 2021,35,,,5,1.25,0,0,0,0,0,0,0,0,0,2,3
Coprocessing Partially Hydrodeoxygenated Hydrothermal Liquefaction Biocrude from Forest Residue in the Vacuum Gas Oil Hydrocracking Process,ALVAREZ MAJMUTOV ANTON,5,,ENERGY & FUELS,AUG 23 2023,37,,,4,2.0,0,0,0,0,0,0,0,0,0,0,4
Modeling and simulation of a multi-bed industrial reactor for renewable diesel hydroprocessing,ALVAREZ MAJMUTOV ANTON,3,,RENEWABLE ENERGY,MAR 2022,186,,,4,1.33,0,0,0,0,0,0,0,0,1,3,0
Process modelling and simulation of bitumen partial upgrading: Analysis of solvent deasphalting-thermal cracking configuration,ALVAREZ MAJMUTOV ANTON,3,,CANADIAN JOURNAL OF CHEMICAL ENGINEERING,JUL 2022,100,,,4,1.0,0,0,0,0,0,0,0,0,1,1,2
Bitumen partial upgrading through fixed-bed hydroprocessing: Examining catalyst stability,ALVAREZ MAJMUTOV ANTON,4,,FUEL,MAR 1 2021,287,,,4,1.0,0,0,0,0,0,0,0,2,0,1,1
Enhancing Efficiency of Coprocessing Forest Residue Derived HTL Biocrude with Vacuum Gas Oil: An Integrated Pretreatment Approach,ALVAREZ MAJMUTOV ANTON,5,,ENERGY & FUELS,MAR 27 2024,38,,,2,2.0,0,0,0,0,0,0,0,0,0,0,2
Exploring the Conversion Limits of Bitumen Visbreaking through a Molecular Reaction Model,ALVAREZ MAJMUTOV ANTON,1,,ENERGY & FUELS,AUG 26 2023,37,,,2,1.0,0,0,0,0,0,0,0,0,0,0,2
Characterizing Variability in Oil Sands Upgrading Greenhouse Gas Emissions Intensity,ALVAREZ MAJMUTOV ANTON,5,,ENERGY & FUELS,SEP 2019,33,,,2,0.33,0,0,0,0,0,0,1,1,0,0,0
Impacts of Refining Partially Upgraded Bitumen: Vacuum Gas Oil Hydrotreating,ALVAREZ MAJMUTOV ANTON,6,,ENERGY & FUELS,MAY 24 2024,38,,,1,1.0,0,0,0,0,0,0,0,0,0,0,1
Evolutionary process synthesis for methane liquefaction,ALVAREZ MAJMUTOV ANTON,2,,REVISTA MEXICANA DE INGENIERIA QUIMICA,APR 2007,6,,,1,0.06,1,0,0,0,0,0,0,0,0,0,0
Coprocessing Hydrothermal Liquefaction Biocrude from Algae with Vacuum Gas Oil Using Hydrotreating,ALVAREZ MAJMUTOV ANTON,6,,ENERGY & FUELS,AUG 1 2024,38,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0
"Self-assembly and solubility properties of polyaromatic compounds studied by molecular dynamics simulation (vol 277, 118060, 2020)",ALVAREZ MAJMUTOV ANTON,13,,FUEL,MAY 1 2021,291,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0
