Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Chloroplast engineering of <i>Chlamydomonas reinhardtii</i> to use phosphite as phosphorus source,BADILLO CORONA JESUS AGUSTIN,5,,ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS,JUL 2018,33.0,,,11,1.57,0,0,0,0,0,0,0,0,0,0,0,2,4,1,3,1,0
Production of Recombinant Proteins in the Chloroplast of the Green Alga <i>Chlamydomonas reinhardtii</i>,BADILLO CORONA JESUS AGUSTIN,5,"MacDonald, J; Kolotilin, I; Menassa, R","RECOMBINANT PROTEINS FROM PLANTS: METHODS AND PROTOCOLS, 2ND EDITION",2016,1385.0,,,10,1.11,0,0,0,0,0,0,0,0,1,1,4,1,1,1,1,0,0
Optimization of direct shoot regeneration using cotyledonary explants and true leaves from lettuce cv. Romaine (<i>Lactuca sativa</i> L.) by surface response methodology,BADILLO CORONA JESUS AGUSTIN,5,,PLANT GROWTH REGULATION,DEC 2015,77.0,,,7,0.7,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,1
"Pas de Trois: An Overview of Penta-, Tetra-, and Octo-Tricopeptide Repeat Proteins From <i>Chlamydomonas reinhardtii</i> and Their Role in Chloroplast Gene Expression",BADILLO CORONA JESUS AGUSTIN,3,,FRONTIERS IN PLANT SCIENCE,NOV 17 2021,12.0,,,6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
Towards the development of mechanism-based biomarkers to diagnose drug hypersensitivity,BADILLO CORONA JESUS AGUSTIN,4,,TOXICOLOGY RESEARCH,2015,4.0,,,5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
mRNA imaging in the chloroplast of <i>Chlamydomonas reinhardtii</i> using the light-up aptamer Spinach,BADILLO CORONA JESUS AGUSTIN,7,,JOURNAL OF BIOTECHNOLOGY,JUN 10 2017,251.0,,,4,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
Robust Parameter Identification to Perform the Modeling of <i>pta</i> and <i>poxB</i> Genes Deletion Effect on <i>Escherichia Coli</i>,BADILLO CORONA JESUS AGUSTIN,5,,APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,AUG 2016,179.0,,,3,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Isolation of cDNA from <i>Jacaratia mexicana</i> encoding a mexicain-like cysteine protease gene,BADILLO CORONA JESUS AGUSTIN,6,,GENE,JUL 1 2012,502.0,,,3,0.23,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
The miRNA822 loaded by ARGONAUTE9 modulates the monosporic female gametogenesis in <i>Arabidopsis thaliana</i>,BADILLO CORONA JESUS AGUSTIN,6,,PLANT REPRODUCTION,JUN 2024,37.0,,,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Production of metabolites from <i>Scenedesmus</i> sp. and a microalgal consortium cultured in unconventional media,BADILLO CORONA JESUS AGUSTIN,4,,CIENCIAS MARINAS,2021,47.0,,,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Finite-time parametric identification for the model representing the metabolic and genetic regulatory effects of sequential aerobic respiration and anaerobic fermentation processes in <i>Escherichia coli</i>,BADILLO CORONA JESUS AGUSTIN,3,,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,SEP 2018,35.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distributed Finite-Time State Estimation of Interconnected Complex Metabolic Networks,BADILLO CORONA JESUS AGUSTIN,3,,COMPLEXITY,2018,,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parametric identifier of metabolic networks based on robust differentiation,BADILLO CORONA JESUS AGUSTIN,3,,IFAC PAPERSONLINE,2015,48.0,9th IFAC Symposium on Advanced Control of Chemical Processes ADCHEM 2015,"JUN 07-10, 2015",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
