Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Host-dependent vitality of juvenile freshwater mussels: Implications for breeding programs and host evaluation,DOUDA YOURI,1,,AQUACULTURE,AUG 1 2015,445.0,,,20,2.0,0,0,0,0,0,4,5,2,2,2,2,0,3
The relationship between water quality and indigenous and alien crayfish distribution in the Czech Republic: patterns and conservation implications,DOUDA YOURI,6,,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,SEP 2012,22.0,,,19,1.46,1,1,5,0,2,2,1,0,5,0,2,0,0
Traces of tramadol in water impact behaviour in a native European fish,DOUDA YOURI,8,,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,APR 1 2021,212.0,,,17,4.25,0,0,0,0,0,0,0,0,0,2,4,7,4
Altered thermoregulation as a driver of host behaviour in glochidia-parasitised fish,DOUDA YOURI,3,,JOURNAL OF EXPERIMENTAL BIOLOGY,JAN 2019,222.0,,,17,2.83,0,0,0,0,0,0,0,1,6,3,5,0,2
Intensity-dependent energetic costs in a reciprocal parasitic relationship,DOUDA YOURI,3,,OECOLOGIA,OCT 2019,191.0,,,15,2.5,0,0,0,0,0,0,0,0,3,2,5,0,5
Stress-induced variation in host susceptibility to parasitic freshwater mussel larvae,DOUDA YOURI,4,,HYDROBIOLOGIA,MAR 2018,810.0,,,15,2.14,0,0,0,0,0,1,3,5,3,1,2,0,0
The influence of mesoscale habitat conditions on the macroinvertebrate composition of springs in a geologically homogeneous area,DOUDA YOURI,6,,FRESHWATER SCIENCE,JUN 2012,31.0,,,15,1.15,1,1,2,1,4,0,1,2,1,1,0,0,1
Prescribed aggression of fishes: Pharmaceuticals modify aggression in environmentally relevant concentrations,DOUDA YOURI,7,,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,DEC 20 2021,227.0,,,13,3.25,0,0,0,0,0,0,0,0,0,0,3,8,2
Biometric conversion factors as a unifying platform for comparative assessment of invasive freshwater bivalves,DOUDA YOURI,41,,JOURNAL OF APPLIED ECOLOGY,SEP 2021,58.0,,,12,3.0,0,0,0,0,0,0,0,0,0,0,3,4,5
Avoidance of host resistance in the oviposition-site preferences of rose bitterling,DOUDA YOURI,8,,EVOLUTIONARY ECOLOGY,OCT 2017,31.0,,,12,1.5,0,0,0,0,0,0,1,1,3,2,2,0,3
Species-specific pattern of crayfish distribution within a river network relates to habitat degradation: implications for conservation,DOUDA YOURI,3,,BIODIVERSITY AND CONSERVATION,DEC 2014,23.0,,,12,1.09,0,0,0,0,1,3,1,2,1,1,1,1,1
Within-river variation in growth and survival of juvenile freshwater pearl mussels assessed by in situ exposure methods,DOUDA YOURI,7,,HYDROBIOLOGIA,MAR 2018,810.0,,,11,1.57,0,0,0,0,0,0,0,2,2,0,2,4,1
Host-parasite interaction as a toxicity test endpoint using asymmetrical exposures,DOUDA YOURI,9,,AQUATIC TOXICOLOGY,JUN 2019,211.0,,,10,1.67,0,0,0,0,0,0,0,0,4,1,1,3,1
Variation in Glycogen Distribution among Freshwater Bivalve Tissues: Simplified Protocol and Implications,DOUDA YOURI,2,,JOURNAL OF AQUATIC ANIMAL HEALTH,MAR 2019,31.0,,,9,1.5,0,0,0,0,0,0,0,0,0,2,1,5,1
Energetic costs in the relationship between bitterling and mussels in East Asia,DOUDA YOURI,8,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,DEC 2018,125.0,,,9,1.29,0,0,0,0,0,0,0,1,2,0,4,0,2
"DETRITAL COMPONENTS IN SUBMONTANE ORGANOGENIC SPRINGS IN RELATION TO THEIR MORPHOLOGY, MICROHABITATS AND MACROINVERTEBRATES",DOUDA YOURI,4,,POLISH JOURNAL OF ECOLOGY,2012,60.0,,,9,0.69,0,0,0,1,2,0,2,1,1,0,0,2,0
Toxic and heavy metals as a cause of crayfish mass mortality from acidified headwater streams,DOUDA YOURI,5,,ECOTOXICOLOGY,MAR 2017,26.0,,,8,1.0,0,0,0,0,0,0,1,0,3,1,2,1,0
The cost of war for biodiversity: a potential ecocide in Ukraine,DOUDA YOURI,4,,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,SEP 2022,20.0,,,7,2.33,0,0,0,0,0,0,0,0,0,0,0,3,4
"Effects of in vitro metamorphosis on survival, growth, and reproductive success of freshwater mussels",DOUDA YOURI,9,,BIOLOGICAL CONSERVATION,FEB 2021,254.0,,,6,1.5,0,0,0,0,0,0,0,0,0,0,4,0,2
"Review of the globally invasive freshwater mussels in the genus <i>Sinanodonta</i> Modell, 1945",DOUDA YOURI,9,,HYDROBIOLOGIA,,,,,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,4
Increased plasma cortisol level as acute response to glochidia parasitism,DOUDA YOURI,4,,ENVIRONMENTAL BIOLOGY OF FISHES,JAN 2023,106.0,,,4,1.33,0,0,0,0,0,0,0,0,0,0,0,0,4
Texture of the Freshwater Shells from the Unionidae Family Collected in the Czech Republic Investigated by X-ray and Neutron Diffraction,DOUDA YOURI,8,,CRYSTALS,DEC 2021,11.0,,,4,1.0,0,0,0,0,0,0,0,0,0,0,2,2,0
Texture Study of <i>Sinanodonta Woodiana</i> Shells by X-Ray Diffraction,DOUDA YOURI,7,,JOURNAL OF SURFACE INVESTIGATION,MAY 2021,15.0,,,4,1.0,0,0,0,0,0,0,0,0,0,1,1,2,0
<i>In situ</i> and low-cost monitoring of particles falling from freshwater animals: from microplastics to parasites,DOUDA YOURI,6,,CONSERVATION PHYSIOLOGY,SEP 26 2020,8.0,,,4,0.8,0,0,0,0,0,0,0,0,0,0,3,0,1
