Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Including Class F Fly Ash to Improve the Geopolymerization Effects and the Compressive Strength of Mine Tailings-Based Geopolymer,PERERA MERCADO YIBRAN ARGENIS,7,,JOURNAL OF MATERIALS IN CIVIL ENGINEERING,NOV 1 2022,34,,,9,3.0,0,0,0,0,0,0,0,0,0,3,5,1
A two-stage stochastic optimization model for the retail multiskilled personnel scheduling problem: a k-chaining policy with <i>k ≥</i> 2,PERERA MERCADO YIBRAN ARGENIS,3,,MATHEMATICAL BIOSCIENCES AND ENGINEERING,2022,19,,,7,2.33,0,0,0,0,0,0,0,0,0,3,1,3
Production of glass spheres from blast furnace slags by a thermal flame projection process,PERERA MERCADO YIBRAN ARGENIS,4,,CERAMICS INTERNATIONAL,JAN 2014,40,,,7,0.64,0,0,0,1,1,1,0,1,0,0,1,2
Sol-Gel Aluminum Hydroxides and Their Thermal Transformation Studies for the Production of α-Alumina,PERERA MERCADO YIBRAN ARGENIS,3,,JOURNAL OF INORGANIC AND ORGANOMETALLIC POLYMERS AND MATERIALS,SEP 2013,23,,,6,0.5,0,0,1,0,0,1,1,0,1,0,1,1
Plasma Functionalization of Carbon Nanofibers with Vapors of Ammonia/Water,PERERA MERCADO YIBRAN ARGENIS,11,,PLASMA CHEMISTRY AND PLASMA PROCESSING,JUL 2015,35,,,4,0.4,0,0,0,0,0,0,0,2,0,1,0,1
Production of Micrometer-sized Composite Polymer-magnetic Spheres Using as Precursor Metallurgical Wastes,PERERA MERCADO YIBRAN ARGENIS,8,,POLYMERS & POLYMER COMPOSITES,2014,22,,,4,0.36,0,0,0,1,0,0,0,1,0,1,1,0
Production and Incorporation of Calcium-Hydrolyzed Nanoparticles in Alkali-Activated Mine Tailings,PERERA MERCADO YIBRAN ARGENIS,10,,NANOMATERIALS,JUN 2023,13,,,3,1.5,0,0,0,0,0,0,0,0,0,0,0,3
EFFECT OF SILICA SOURCE ON THE SYNTHESIS AND PROPERTIES OF POLYSULFONE/SILICA COMPOSITE MEMBRANES FOR GAS SEPARATION,PERERA MERCADO YIBRAN ARGENIS,7,,REVISTA MEXICANA DE INGENIERIA QUIMICA,AUG 2018,17,,,3,0.43,0,0,0,0,0,0,0,1,0,0,1,1
Effect of the Class C Fly Ash on Low-Reactive Gold Mine Tailing Geopolymers,PERERA MERCADO YIBRAN ARGENIS,11,,POLYMERS,JUL 2022,14,,,2,0.67,0,0,0,0,0,0,0,0,0,0,2,0
APPLICATION OF THE LOW VACUUM SCANNING ELECTRON MICROSCOPE TO THE STUDY OF GLASS-CERAMIC SPHERICAL MATERIALS,PERERA MERCADO YIBRAN ARGENIS,5,,ACTA MICROSCOPICA,2014,23,,,2,0.18,0,0,0,1,0,0,0,0,0,1,0,0
MODIFICATION OF ZEOLITE NaY AND PREPARATION OF HYBRID MEMBRANES FOR THE SEPARATION OF MIXED GASES,PERERA MERCADO YIBRAN ARGENIS,6,,REVISTA MEXICANA DE INGENIERIA QUIMICA,JAN-APR 2019,18,,,1,0.17,0,0,0,0,0,0,0,0,1,0,0,0
Production of mortars using novel glass-ceramic porous spherical particles with chemical composition into SiO<sub>2</sub>-CaO-Al<sub>2</sub>O<sub>3</sub>-MgO quaternary system as replacement of sand aggregates,PERERA MERCADO YIBRAN ARGENIS,10,,CEMENT & CONCRETE COMPOSITES,OCT 2016,73,,,1,0.11,0,0,0,0,0,0,0,0,0,0,0,1
CHARACTERIZATION OF SILICA NANOPARTICLES AND THEIR EFFECT ON MECHANICAL PROPERTIES OF CEMENT PORTLAND 30R,PERERA MERCADO YIBRAN ARGENIS,7,,ACTA MICROSCOPICA,2015,24,,,1,0.1,0,0,0,0,0,0,0,0,1,0,0,0
