Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2003,2004,2005,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Effect of coconut fibers chemically modified with alkoxysilanes on the crystallization, thermal, and dynamic mechanical properties of poly(lactic acid) composites",ESCOBAR BARRIOS VLADIMIR ALONSO,7,,POLYMER BULLETIN,JAN 2024,81.0,,,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Effect of silicon dots into coconut fibers on the nucleating capacity of β-crystals of polypropylene,ESCOBAR BARRIOS VLADIMIR ALONSO,7,,REVISTA MEXICANA DE INGENIERIA QUIMICA,JAN-MAR 2021,20.0,,,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
Influence of RGD Peptide on Morphology and Biocompatibility of 3D Scaffolds Based on PLA/Hydroxyapatite,ESCOBAR BARRIOS VLADIMIR ALONSO,4,,CHEMISTRYSELECT,NOV 22 2019,4.0,,,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Viscosity and normal stress forces of Lennard-Jones chains using reverse non-equilibrium molecular dynamics,ESCOBAR BARRIOS VLADIMIR ALONSO,2,,MOLECULAR PHYSICS,2017,115.0,,,3,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Synthesis and evaluation of compatibilizer based on interpenetrating polymer networks (IPN) for PET/LDPE blends,ESCOBAR BARRIOS VLADIMIR ALONSO,3,,JOURNAL OF APPLIED POLYMER SCIENCE,AUG 5 2016,133.0,,,3,0.33,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
A biodegradable and flexible temperature sensor supported on avocado peel and its enhancement of detection by sensitizing with the La0.5Sr0.5CoO3 perovskite,ESCOBAR BARRIOS VLADIMIR ALONSO,7,,MATERIALS CHEMISTRY AND PHYSICS,DEC 1 2022,292.0,,,2,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Thermal and mechanical properties of UHMWPE/HDPE/PCL and bioglass filler: Effect of polycaprolactone,ESCOBAR BARRIOS VLADIMIR ALONSO,4,,JOURNAL OF APPLIED POLYMER SCIENCE,MAY 15 2021,138.0,,,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Some aspects of polybenzimidazoles' synthesis in Eaton reagent under different temperatures and microwave irradiation,ESCOBAR BARRIOS VLADIMIR ALONSO,4,,JOURNAL OF MACROMOLECULAR SCIENCE PART A-PURE AND APPLIED CHEMISTRY,JUN 3 2019,56.0,,,2,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Natural-Fiber-Reinforced Composite Treated with Polyamines Used as a Support for the Biodegradation and Adsorption of Toluene,ESCOBAR BARRIOS VLADIMIR ALONSO,2,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,JUN 15 2011,50.0,,,2,0.14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Indirect sulfonation of telechelic poly(styrene-ethylene-butylene-styrene) via chloromethylation for preparation of sulfonated membranes as proton exchange membranes,ESCOBAR BARRIOS VLADIMIR ALONSO,5,,EXPRESS POLYMER LETTERS,FEB 2022,16.0,,,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Structural modification of polysulfone/NMP membranes: effect of chloroform as co-solvent,ESCOBAR BARRIOS VLADIMIR ALONSO,3,,POLYMER BULLETIN,AUG 2022,79.0,,,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"A rapid method for interfacial tension calculation between rock plug and crude oil based on contact angles, application for EOR",ESCOBAR BARRIOS VLADIMIR ALONSO,3,,PETROLEUM SCIENCE AND TECHNOLOGY,2018,36.0,,,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A New Catalytic System for the Photodegradation of Endocrinal Disruptors: Synthesis and Efficiency Modeling and Optimization,ESCOBAR BARRIOS VLADIMIR ALONSO,6,"Pierucci, S; Klemes, JJ",ICHEAP12: 12TH INTERNATIONAL CONFERENCE ON CHEMICAL & PROCESS ENGINEERING,2015,43.0,12th International Conference on Chemical and Process Engineering (ICheaP),"MAY 19-22, 2015",1,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Controlled release of theophylline from poly(vinyl alcohol) hydrogels/porous silicon nanostructured systems,ESCOBAR BARRIOS VLADIMIR ALONSO,4,"Miller, BL; Fauchet, PM",FRONTIERS IN BIOLOGICAL DETECTION: FROM NANOSENSORS TO SYSTEMS V,2013,8570.0,Conference on Frontiers in Biological Detection - From Nanosensors to Systems V,"FEB 02-03, 2013",1,0.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EFFECT OF POLYAMINE ON ADSORPTION AND DEGRADATION OF TOLUENE BY BIOCOMPOSITE BASED ON NATURAL FIBER,ESCOBAR BARRIOS VLADIMIR ALONSO,2,"Bartacek, J; Kennes, C; Lens, PNL",BIOTECHNIQUES FOR AIR POLLUTION CONTROL,2010,,3rd International Symposium on Biotechniques for Air Pollution Control,"SEP 28-30, 2009",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
