Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Engineering the <i>Escherichia coli</i> Fermentative Metabolism,UTRILLA CARRERI JOSE,6,"Wittmann, C; Krull, R",BIOSYSTEMS ENGINEERING II: LINKING CELLULAR NETWORKS AND BIOPROCESSES,2010,121.0,,,23,1.53,0,0,0,0,4,3,0,4,4,2,1,1,1,2,0,0,1
Fast Swinnex filtration (FSF): a fast and robust sampling and extraction method suitable for metabolomics analysis of cultures grown in complex media,UTRILLA CARRERI JOSE,5,,METABOLOMICS,FEB 2015,11.0,,,22,2.2,0,0,0,0,0,0,0,1,3,1,7,3,2,1,1,3,0
Specific ethanol production rate in ethanologenic <i>Escherichia coli</i> strain KO11 is limited by pyruvate decarboxylase,UTRILLA CARRERI JOSE,6,,JOURNAL OF MOLECULAR MICROBIOLOGY AND BIOTECHNOLOGY,2008,15.0,,,22,1.29,1,1,2,2,2,2,1,3,2,2,1,1,0,1,0,1,0
Production of D-lactate from sugarcane bagasse and corn stover hydrolysates using metabolic engineered <i>Escherichia coli</i> strains,UTRILLA CARRERI JOSE,5,,BIORESOURCE TECHNOLOGY,NOV 2016,220.0,,,17,1.89,0,0,0,0,0,0,0,0,1,1,0,5,2,1,5,1,1
Metabolic and transcriptional response of <i>Escherichia coli</i> with a NADP<SUP>+</SUP>-dependent glyceraldehyde 3-phosphate dehydrogenase from <i>Streptococcus mutans</i>,UTRILLA CARRERI JOSE,6,,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,DEC 2013,104.0,,,16,1.33,0,0,0,0,0,0,1,4,0,1,4,0,0,1,1,3,1
"ChIP-exo interrogation of Crp, DNA, and RNAP holoenzyme interactions",UTRILLA CARRERI JOSE,8,,PLOS ONE,MAY 17 2018,13.0,,,14,2.0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,3,2
Regulatory perturbations of ribosome allocation in bacteria reshape the growth proteome with a trade-off in adaptation capacity,UTRILLA CARRERI JOSE,5,,ISCIENCE,MAR 18 2022,25.0,,,8,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
Plasmid DNA Production in Proteome-Reduced <i>Escherichia coli</i>,UTRILLA CARRERI JOSE,5,,MICROORGANISMS,SEP 2020,8.0,,,8,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3
Engineering resource allocation in artificially minimized cells: Is genome reduction the best strategy?,UTRILLA CARRERI JOSE,2,,MICROBIAL BIOTECHNOLOGY,MAY 2023,16.0,,,5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Metabolic reconstruction of<i>Pseudomonas chlororaphis</i>ATCC 9446 to understand its metabolic potential as a phenazine-1-carboxamide-producing strain,UTRILLA CARRERI JOSE,5,,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,DEC 2020,104.0,,,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
Dynamic proteome allocation regulates the profile of interaction of auxotrophic bacterial consortia,UTRILLA CARRERI JOSE,6,,ROYAL SOCIETY OPEN SCIENCE,MAY 4 2022,9.0,,,2,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Resource Allocation Principles and Minimal Cell Design,UTRILLA CARRERI JOSE,2,"Lara, AR; Gosset, G","MINIMAL CELLS: DESIGN, CONSTRUCTION, BIOTECHNOLOGICAL APPLICATIONS",2020,,,,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Recombinant protein expression in proteome-reduced cells under aerobic and oxygen-limited regimes,UTRILLA CARRERI JOSE,11,,BIOTECHNOLOGY AND BIOENGINEERING,APR 2024,121.0,,,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Enhancing <i>Escherichia coli</i> abiotic stress resistance through ornithine lipid formation,UTRILLA CARRERI JOSE,5,,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,DEC 2024,108.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electrostatic Fermentation: Molecular Response Insights for Tailored Beer Production,UTRILLA CARRERI JOSE,10,,FOODS,FEB 2024,13.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A quantitative method for proteome reallocation using minimal regulatory interventions (Jul, 10.1038/s41589-020-0593-y, 2020)",UTRILLA CARRERI JOSE,5,,NATURE CHEMICAL BIOLOGY,NOV 2020,16.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
