Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1999,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Plasma Phospholipid Fatty Acids in Obese Male and Female Mexican Children,BORBOLLA ESCOBOZA JOSE RAFAEL,5,,ANNALS OF NUTRITION AND METABOLISM,JAN 2011,57,,,9,0.64,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,0,1,0,0
Discriminant analysis and machine learning approach for evaluating and improving the performance of immunohistochemical algorithms for COO classification of DLBCL,BORBOLLA ESCOBOZA JOSE RAFAEL,15,,JOURNAL OF TRANSLATIONAL MEDICINE,JUN 11 2019,17,,,7,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1
"A randomized trial of dexamethasone before remission induction, in <i>de novo</i> childhood acute lymphoblastic leukemia",BORBOLLA ESCOBOZA JOSE RAFAEL,6,,HAEMATOLOGICA,MAR 2004,89,,,3,0.14,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Stem Cells and Development in Latin America,BORBOLLA ESCOBOZA JOSE RAFAEL,1,,STEM CELLS AND DEVELOPMENT,MAR 2010,19,,,2,0.13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Induction of apoptosis and effect on CD20<SUP>+</SUP> cell numbers using rituximab on autologous peripheral blood stem cell harvests from patients with B cell lymphomas,BORBOLLA ESCOBOZA JOSE RAFAEL,7,,STEM CELLS AND DEVELOPMENT,APR 2004,13,,,2,0.1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recombinant human granulocyte-macrophage colony-stimulating factor as treatment for chronic leg ulcers,BORBOLLA ESCOBOZA JOSE RAFAEL,4,,REVISTA DE INVESTIGACION CLINICA-CLINICAL AND TRANSLATIONAL INVESTIGATION,NOV-DEC 1997,49,,,2,0.07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Utility of Plasma EGFR T790M Mutation Detection in Advanced Non-Small Cell Lung Cancer Patients According to RECIST Criteria,BORBOLLA ESCOBOZA JOSE RAFAEL,8,,JOURNAL OF THORACIC ONCOLOGY,NOV 2017,12,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROGNOSTIC RELEVANCE OF THE QUANTIFICATION OF CIRCULATING TUMOR CELLS BY MEAN EPITHELIAL MARKERS IN ADVANCED NON-SMALL CELL LUNG CANCER PATIENTS,BORBOLLA ESCOBOZA JOSE RAFAEL,5,,JOURNAL OF THORACIC ONCOLOGY,NOV 2013,8,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLINICAL AND PATHOLOGICAL CHARACTERISTICS, OUTCOME AND MUTATIONAL PROFILES REGARDING NON-SMALL CELL LUNG CANCER RELATED TO WOOD-SMOKE EXPOSURE",BORBOLLA ESCOBOZA JOSE RAFAEL,11,,JOURNAL OF THORACIC ONCOLOGY,JUL 2012,7,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relevance of genotyping non-small-cell lung cancer patients on response to platinum-basedchemotherapy and tyrosine kinase inhibitors,BORBOLLA ESCOBOZA JOSE RAFAEL,9,,CLINICAL CANCER RESEARCH,FEB 2012,18,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
International staging system is useful for predicting survival in patients with multiple myeloma treated with chemotherapy ± interferon <i>vs</i> intensive treatment.,BORBOLLA ESCOBOZA JOSE RAFAEL,5,,BLOOD,NOV 16 2005,106,47th Annual Meeting of the American-Society-of-Hematology,"DEC 10-13, 2005",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison of two polychemotherapies in refractory or relapsed acute leukemia,BORBOLLA ESCOBOZA JOSE RAFAEL,6,,REVISTA DE INVESTIGACION CLINICA-CLINICAL AND TRANSLATIONAL INVESTIGATION,JUL-AUG 1998,50,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DIPIRONE, A CONTROVERSY",BORBOLLA ESCOBOZA JOSE RAFAEL,2,,REVISTA DE INVESTIGACION CLINICA-CLINICAL AND TRANSLATIONAL INVESTIGATION,JAN-FEB 1994,46,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
