Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Wearing tests on aluminium coated with diamond by triboadhesion,RODRIGUEZ LELIS JOSE MARIA,4,,SCIENCE IN CHINA SERIES A-MATHEMATICS PHYSICS ASTRONOMY,AUG 2001,44,,,1,0.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amontons' laws and the friction in miniature elements,RODRIGUEZ LELIS JOSE MARIA,5,,CANADIAN JOURNAL OF PHYSICS,JUL 2019,97,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experimental Design and Analysis of a Gyroelastic Beam,RODRIGUEZ LELIS JOSE MARIA,7,,LATIN AMERICAN JOURNAL OF SOLIDS AND STRUCTURES,2018,15,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mechanical power variation in a hydraulic microturbine regarding the number of blades,RODRIGUEZ LELIS JOSE MARIA,5,,DYNA,SEP-OCT 2017,92,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Improving the Efficiency of the K-medoids Clustering Algorithm by Getting Initial Medoids,RODRIGUEZ LELIS JOSE MARIA,7,"Rocha, A; Correia, AM; Adeli, H; Reis, LP; Costanzo, S","RECENT ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 1",2017,569,5th World Conference on Information Systems and Technologies (WorldCIST),"APR 11-13, 2017",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effect of Profile Curvature of the Needle Point on the Deformation of the Human Skin During Penetration,RODRIGUEZ LELIS JOSE MARIA,6,,2014 PAN AMERICAN HEALTH CARE EXCHANGES (PAHCE),2014,,9th Pan American Health Care Exchanges (PAHCE) Conference,"APR 07-12, 2014",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Design of an Acquisition System for bioelectric signals (heart) using an embedded system in FPGA platform,RODRIGUEZ LELIS JOSE MARIA,7,,"2014 INTERNATIONAL CARIBBEAN CONFERENCE ON DEVICES, CIRCUITS AND SYSTEMS (ICCDCS)",2014,,Int Caribbean Conference Devices Circuits Systems ICCDCS,"APR 02-04, 2014",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Failure Analysis to Blades Of Steam Turbines At Normal Conditions Of Operations And Resonance,RODRIGUEZ LELIS JOSE MARIA,5,"Clark, G; Wang, CH","11TH INTERNATIONAL FATIGUE CONGRESS, PTS 1 AND 2",2014,891-892,11th International Fatigue Congress,"MAR 02-07, 2014",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environmental Impact Indicator using Exergy Destruction within an Ecosystem - Example of a Specific Case,RODRIGUEZ LELIS JOSE MARIA,4,,"IMECE2009, VOL 6",2010,,ASME International Mechanical Engineering Congress and Exposition,"NOV 13-19, 2009",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environmental Impact Index Using Exergy Destruction within an Ecosystem - Methodology,RODRIGUEZ LELIS JOSE MARIA,4,,"IMECE2009, VOL 6",2010,,ASME International Mechanical Engineering Congress and Exposition,"NOV 13-19, 2009",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN ENERGY BASED METHOD FOR WEAR ANALYSIS OF A CrCoMo-UHMWPE AND DLC-UHMWPE COUPLES FOR HIP PROSTHESIS,RODRIGUEZ LELIS JOSE MARIA,6,,"PROCEEDINGS OF THE ASME INTERNATIONAL DESIGN ENGINEERING TECHNICAL CONFERENCES AND COMPUTERS AND INFORMATION IN ENGINEERING CONFERENCE, DETC 2010, VOL 4",2010,,ASME International Design Engineering Technical Conferences / Computers and Information in Engineering Conference,"AUG 15-18, 2010",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lost Work in an Ecosystem Used as an Environmental Impact Index,RODRIGUEZ LELIS JOSE MARIA,4,,"PROCEEDINGS OF THE 9TH BIENNIAL CONFERENCE ON ENGINEERING SYSTEMS DESIGN AND ANALYSIS - 2008, VOL 1",2009,,9th Biennial Conference on Engineering Systems Design and Analysis,"JUL 07-09, 2008",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A comparison of the flow behaviour in knee articulations as a function of the friction factor,RODRIGUEZ LELIS JOSE MARIA,8,,"2009 3RD INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOMEDICAL ENGINEERING, VOLS 1-11",2009,,3rd International Conference on Bioinformatics and Biomedical Engineering,"JUN 11-16, 2009",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Two Degrees of Freedom Computer Assisted Motivational Rehabilitation for Hemiplegic,RODRIGUEZ LELIS JOSE MARIA,11,,PAHCE: 2009 PAN AMERICAN HEALTH CARE EXCHANGES,2009,,Pan American Health Care Exchanges Conference 2009,"MAR 16-20, 2009",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effect on the film pressure distribution on a hydrodynamic tilting pad bearing caused by the coating of the journal with DLC by triboadhesion,RODRIGUEZ LELIS JOSE MARIA,6,,"PROCEEDINGS OF THE ASME/STLE INTERNATIONAL JOINT TRIBOLOGY CONFERENCE, PTS A AND B",2008,,ASME/STLE International Joint Tribology Conference,"OCT 22-24, 2007",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spectroscopy stress evaluation of translucid polymers using laser photoelasticity,RODRIGUEZ LELIS JOSE MARIA,7,"Wetter, NU; Frejlich, J",RIAO/OPTILAS 2007,2008,992,"6th Ibero-American Meeting on Optics/9th Latin-American Meeting on Optics, Lasers, and Applications (RIAO/OPTILAS)","OCT 21-26, 2007",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Application of laser interferometry to the evaluation of the dynamic characteristics of rolling bearings and comparison with piezoelectric device measurements,RODRIGUEZ LELIS JOSE MARIA,6,"GutierrezVega, JC; DavilaRodriguez, J; LopezMariscal, C",SIXTH SYMPOSIUM: OPTICS IN INDUSTRY,2007,6422,6th Symposium on Optics in Industry,"MAR 08-09, 2007",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Morlet wavelet signal analysis with a Daubechies filter for power quality disturbances,RODRIGUEZ LELIS JOSE MARIA,6,,"CERMA 2007: ELECTRONICS, ROBOTICS AND AUTOMOTIVE MECHANICS CONFERENCE, PROCEEDINGS",2007,,"Electronics, Robotics and Automotive Mechanics Conference","SEP 25-28, 2007",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETRAS thermal desalination system,RODRIGUEZ LELIS JOSE MARIA,6,,DESALINATION,DEC 20 2000,132,Conference on Membranes in Drinking and Industrial Water Production,"OCT 03-06, 2000",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
